Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
PV_Building16,1,8,0,0,25
PV_Building17,0,0,0,0,25
PV_Building18,0,0,0,0,25
PV_Building19,1.0,25,15363.546100562951,2962.719684,25.0
PV_Building2,1,10,0,0,25
PV_Building3,0,0,0,0,25
PV_Building4,1,7.2,0,0,25
PV_Building5,1,12.5,0,0,25
PV_Building6,1,7,0,0,25
PV_Building7,0,0,0,0,25
PV_Building8,0,0,0,0,25
PV_Building9,1,8,0,0,25
ThermalSolar_Building1,0,0,0,0,20
ThermalSolar_Building10,0,0,0,0,20
ThermalSolar_Building11,0,0,0,0,20
ThermalSolar_Building12,0,0,0,0,20
ThermalSolar_Building13,0,0,0,0,20
ThermalSolar_Building14,0,0,0,0,20
ThermalSolar_Building15,0,0,0,0,20
ThermalSolar_Building16,0,0,0,0,20
ThermalSolar_Building17,0,0,0,0,20
ThermalSolar_Building18,0,0,0,0,20
ThermalSolar_Building19,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building2,0,0,0,0,20
ThermalSolar_Building3,0,0,0,0,20
ThermalSolar_Building4,0,0,0,0,20
ThermalSolar_Building5,0,0,0,0,20
ThermalSolar_Building6,0,0,0,0,20
ThermalSolar_Building7,0,0,0,0,20
ThermalSolar_Building8,0,0,0,0,20
ThermalSolar_Building9,0,0,0,0,20
WaterTankDHW_Building1,1,0.019643749,42.58398199,1.182558709,20
WaterTankDHW_Building10,1,0.031429999,49.9708259,1.892090934,20
WaterTankDHW_Building11,1,0.031429999,49.9708259,1.892090934,20
WaterTankDHW_Building12,1,0.018334166,41.76322155,1.103721795,20
WaterTankDHW_Building13,1,0.031429999,49.9708259,1.892090934,20
WaterTankDHW_Building14,1,0.018334166,41.76322155,1.103721795,20
WaterTankDHW_Building15,1,0.035358749,52.4331072,2.128601676,20
WaterTankDHW_Building16,1,0.016762666,40.77830903,1.009117498,20
WaterTankDHW_Building17,1,0.047144998,59.81995111,2.838133902,20
WaterTankDHW_Building18,1,0.018334166,41.76322155,1.103721795,20
WaterTankDHW_Building19,1.0,0.23883246947,179.95701569899603,14.3777196619,20.0
WaterTankDHW_Building2,1,0.026191666,46.68778416,1.576743279,20
WaterTankDHW_Building3,1,0.022000999,44.06135077,1.324465154,20
WaterTankDHW_Building4,1,0.058931248,67.20679502,3.547666127,20
WaterTankDHW_Building5,1,0.026191666,46.68778416,1.576743279,20
WaterTankDHW_Building6,1,0.027501249,47.50854459,1.655580193,20
WaterTankDHW_Building7,1,0.031429999,49.9708259,1.892090934,20
WaterTankDHW_Building8,1,0.026191666,46.68778416,1.576743279,20
WaterTankDHW_Building9,1,0.018334166,41.76322155,1.103721795,20
WaterTankSH_Building1,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building10,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building11,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building12,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building13,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building14,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building15,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building16,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building17,1,0.1,99.09834605,6.020004999,20
