Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Battery_Building5,1.0,5,58.34350909152704,1.02781,10.0
Battery_Building50,1.0,5,58.34350909152704,1.02781,10.0
Battery_Building6,1.0,5,58.34350909152704,1.02781,10.0
Battery_Building7,1.0,5,58.34350909152704,1.02781,10.0
Battery_Building8,1.0,5,58.34350909152704,1.02781,10.0
Battery_Building9,1.0,5,58.34350909152704,1.02781,10.0
Battery_district,1.0,50.0,0.0,0.0,10.0
ElectricalHeater_DHW_Building1,1.0,0.4931680534,83.33101216192819,0.11210994509,20.0
ElectricalHeater_DHW_Building10,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building11,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building12,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building13,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building14,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building15,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building16,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building17,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building18,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building19,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building2,1.0,0.31186252452,79.40584206400663,0.10839318175,20.0
ElectricalHeater_DHW_Building20,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building21,1.0,0.4469409742,82.33022001767942,0.11116228997,20.0
ElectricalHeater_DHW_Building22,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building23,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building24,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building25,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building26,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building27,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building28,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building29,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building3,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building30,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building31,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building32,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building33,1.0,0.4469409742,82.33022001767942,0.11116228997,20.0
ElectricalHeater_DHW_Building34,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building35,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building36,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building37,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building38,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building39,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building4,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building40,1.0,0.4469409742,82.33022001767942,0.11116228997,20.0
ElectricalHeater_DHW_Building41,1.0,0.45550862437,82.51570517358914,0.1113379268,20.0
ElectricalHeater_DHW_Building42,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building43,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building44,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building45,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building46,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building47,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building48,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building49,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building5,1.0,0.4469409742,82.33022001767942,0.11116228997,20.0
ElectricalHeater_DHW_Building50,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building6,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building7,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_DHW_Building8,1.0,0.27014674798,78.50271726854889,0.10753800833,20.0
ElectricalHeater_DHW_Building9,1.0,0.46115404655,82.63792561795589,0.11145365795,20.0
ElectricalHeater_SH_Building1,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building10,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building11,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building12,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building13,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building14,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building15,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building16,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building17,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building18,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building19,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building2,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building20,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building21,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building22,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building23,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building24,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building25,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building26,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building27,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building28,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building29,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building3,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building30,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building31,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building32,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building33,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building34,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building35,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building36,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building37,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building38,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building39,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building4,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building40,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building41,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building42,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building43,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building44,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building45,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building46,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building47,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building48,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building49,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building5,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building50,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building6,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building7,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building8,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building9,0.0,0.0,0.0,0.0,20.0
HeatPump_Air_Building1,1.0,7.25,1255.8313377552508,3.36576648744,20.0
HeatPump_Air_Building10,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building11,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building12,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building13,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building14,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building15,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building16,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building17,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building18,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building19,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building2,1.0,7.25,1241.835095662026,2.09181759855,20.0
HeatPump_Air_Building20,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building21,1.0,7.25,1254.0694317433863,3.20539642587,20.0
HeatPump_Air_Building22,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building23,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building24,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building25,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building26,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building27,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building28,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building29,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building3,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building30,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building31,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building32,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building33,1.0,7.25,1254.0694317433863,3.20539642587,20.0
HeatPump_Air_Building34,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building35,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building36,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building37,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building38,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building39,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building4,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building40,1.0,7.25,1254.0694317433863,3.20539642587,20.0
HeatPump_Air_Building41,1.0,7.25,1253.7639614880727,3.17759228461,20.0
HeatPump_Air_Building42,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building43,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building44,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building45,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building46,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building47,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building48,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building49,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building5,1.0,7.25,1254.0694317433863,3.20539642587,20.0
HeatPump_Air_Building50,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building6,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building7,1.0,7.25,1253.5626800962418,3.15927149509,20.0
HeatPump_Air_Building8,1.0,7.25,1239.912344056749,1.91680724543,20.0
HeatPump_Air_Building9,1.0,7.25,1253.5626800962418,3.15927149509,20.0
PV_Building1,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building10,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building11,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building12,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building13,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building14,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building15,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building16,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building17,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building18,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building19,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building2,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building20,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building21,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building22,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building23,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building24,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building25,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building26,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building27,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building28,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building29,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building3,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building30,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building31,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building32,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building33,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building34,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building35,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building36,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building37,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building38,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building39,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building4,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building40,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building41,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building42,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building43,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building44,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building45,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building46,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building47,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building48,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building49,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building5,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building50,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building6,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building7,1.0,8.0,1513.9957139096891,220.393604,25.0
PV_Building8,1.0,8.0,1593.4994474725665,236.136004,25.0
PV_Building9,1.0,8.0,1513.9957139096891,220.393604,25.0
ThermalSolar_Building1,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building10,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building11,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building12,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building13,0.0,0.0,0.0,0.0,20.0
